time_s,channel_id,value,quality_flag
-300,E1,-0.026911,PASS
-299,E1,-0.036343,PASS
-298,E1,-0.060177,PASS
-297,E1,-0.018349,PASS
-296,E1,-0.027409,PASS
-295,E1,-0.003732,PASS
-294,E1,-0.055423,PASS
-293,E1,-0.041608,PASS
-292,E1,-0.039985,PASS
-291,E1,-0.02777,PASS
-290,E1,-0.009233,PASS
-289,E1,-0.019632,PASS
-288,E1,-0.011622,PASS
-287,E1,-0.001019,PASS
-286,E1,-0.033955,PASS
-285,E1,-0.01765,PASS
-284,E1,-0.019325,PASS
-283,E1,-0.005249,PASS
-282,E1,-0.026856,PASS
-281,E1,-0.035459,PASS
-280,E1,-0.049611,PASS
-279,E1,-0.041473,PASS
-278,E1,-0.043068,PASS
-277,E1,-0.03081,PASS
-276,E1,-0.012322,PASS
-275,E1,-0.017996,PASS
-274,E1,-0.038618,PASS
-273,E1,-0.02487,PASS
-272,E1,-0.049624,PASS
-271,E1,-0.036621,PASS
-270,E1,-0.036045,PASS
-269,E1,-0.051366,PASS
-268,E1,-0.027396,PASS
-267,E1,-0.001623,PASS
-266,E1,-0.032666,PASS
-265,E1,-0.021754,PASS
-264,E1,-0.014813,PASS
-263,E1,-0.027253,PASS
-262,E1,0.001458,PASS
-261,E1,-0.01471,PASS
-260,E1,-0.035324,PASS
-259,E1,-0.048008,PASS
-258,E1,-0.029736,PASS
-257,E1,-0.05389,PASS
-256,E1,-0.00997,PASS
-255,E1,-0.02369,PASS
-254,E1,-0.013985,PASS
-253,E1,-0.059516,PASS
-252,E1,-0.036703,PASS
-251,E1,-0.010896,PASS
-250,E1,0.011229,PASS
-249,E1,-0.006719,PASS
-248,E1,-0.03284,PASS
-247,E1,-0.020686,PASS
-246,E1,0.00359,PASS
-245,E1,-0.017824,PASS
-244,E1,-0.026626,PASS
-243,E1,-0.033611,PASS
-242,E1,-0.015063,PASS
-241,E1,-0.045175,PASS
-240,E1,-0.065341,PASS
-239,E1,-0.038118,PASS
-238,E1,-0.056487,PASS
-237,E1,-0.048494,PASS
-236,E1,-0.035122,PASS
-235,E1,-0.047724,PASS
-234,E1,-0.017223,PASS
-233,E1,-0.034679,PASS
-232,E1,-0.037083,PASS
-231,E1,-0.004145,PASS
-230,E1,-0.035228,PASS
-229,E1,-0.008541,PASS
-228,E1,-0.016582,PASS
-227,E1,-0.041901,PASS
-226,E1,-0.02743,PASS
-225,E1,-0.037776,PASS
-224,E1,0.002431,PASS
-223,E1,-0.00873,PASS
-222,E1,-0.016584,PASS
-221,E1,-0.01351,PASS
-220,E1,-0.015591,PASS
-219,E1,-0.034396,PASS
-218,E1,-0.020823,PASS
-217,E1,-0.001086,PASS
-216,E1,-0.052445,PASS
-215,E1,-0.039946,PASS
-214,E1,-0.05685,PASS
-213,E1,-0.009729,PASS
-212,E1,-0.038664,PASS
-211,E1,-0.028341,PASS
-210,E1,-0.015373,PASS
-209,E1,-0.033411,PASS
-208,E1,-0.031265,PASS
-207,E1,-0.035562,PASS
-206,E1,-0.010777,PASS
-205,E1,-0.009271,PASS
-204,E1,-0.032108,PASS
-203,E1,-0.035497,PASS
-202,E1,-0.031856,PASS
-201,E1,-0.004222,PASS
-200,E1,-0.038435,PASS
-199,E1,-0.057587,PASS
-198,E1,-0.01784,PASS
-197,E1,-0.020031,PASS
-196,E1,-0.026624,PASS
-195,E1,-0.026502,PASS
-194,E1,-0.024121,PASS
-193,E1,-0.004878,PASS
-192,E1,-0.075452,PASS
-191,E1,-0.028481,PASS
-190,E1,-0.035101,PASS
-189,E1,-0.043013,PASS
-188,E1,0.012,PASS
-187,E1,-0.013737,PASS
-186,E1,-0.016146,PASS
-185,E1,-0.022054,PASS
-184,E1,-0.020099,PASS
-183,E1,-0.008538,PASS
-182,E1,-0.011979,PASS
-181,E1,-0.026037,PASS
-180,E1,-0.031001,PASS
-179,E1,-0.069491,PASS
-178,E1,-0.041983,PASS
-177,E1,-0.003095,PASS
-176,E1,-0.026728,PASS
-175,E1,-0.04081,PASS
-174,E1,-0.005994,PASS
-173,E1,-0.019299,PASS
-172,E1,-0.010292,PASS
-171,E1,-0.045105,PASS
-170,E1,-0.020498,PASS
-169,E1,-0.024804,PASS
-168,E1,0.005962,PASS
-167,E1,-0.038241,PASS
-166,E1,-0.021886,PASS
-165,E1,0.001688,PASS
-164,E1,-0.043749,PASS
-163,E1,-0.013958,PASS
-162,E1,-0.014676,PASS
-161,E1,-0.028441,PASS
-160,E1,-0.061816,PASS
-159,E1,-0.019523,PASS
-158,E1,0.017858,PASS
-157,E1,-0.013397,PASS
-156,E1,-0.037662,PASS
-155,E1,-0.003473,PASS
-154,E1,-0.029564,PASS
-153,E1,-0.021834,PASS
-152,E1,-0.006144,PASS
-151,E1,-0.047873,PASS
-150,E1,-0.023903,PASS
-149,E1,-0.033376,PASS
-148,E1,-0.055989,PASS
-147,E1,-0.028673,PASS
-146,E1,-0.039011,PASS
-145,E1,-0.005304,PASS
-144,E1,0.009147,PASS
-143,E1,-0.01831,PASS
-142,E1,-0.039363,PASS
-141,E1,-0.000737,PASS
-140,E1,-0.030604,PASS
-139,E1,-0.039329,PASS
-138,E1,-0.002637,PASS
-137,E1,-0.065998,PASS
-136,E1,-0.002942,PASS
-135,E1,-0.024105,PASS
-134,E1,0.001979,PASS
-133,E1,-0.026973,PASS
-132,E1,0.003506,PASS
-131,E1,-0.0374,PASS
-130,E1,-0.026568,PASS
-129,E1,-0.049883,PASS
-128,E1,-0.020067,PASS
-127,E1,-0.015804,PASS
-126,E1,-0.033173,PASS
-125,E1,0.008135,PASS
-124,E1,-0.025597,PASS
-123,E1,-0.023687,PASS
-122,E1,0.014551,PASS
-121,E1,-0.035556,PASS
-120,E1,-0.0281,PASS
-119,E1,-0.036949,PASS
-118,E1,-0.013584,PASS
-117,E1,-0.010767,PASS
-116,E1,-0.012698,PASS
-115,E1,-0.024047,PASS
-114,E1,-0.013009,PASS
-113,E1,-0.030628,PASS
-112,E1,0.038937,PASS
-111,E1,-0.019829,PASS
-110,E1,0.007841,PASS
-109,E1,-0.042696,PASS
-108,E1,0.009871,PASS
-107,E1,-0.018538,PASS
-106,E1,-0.018855,PASS
-105,E1,-0.054335,PASS
-104,E1,0.022373,PASS
-103,E1,-0.025239,PASS
-102,E1,-0.000516,PASS
-101,E1,0.007887,PASS
-100,E1,-0.017131,PASS
-99,E1,-0.02809,PASS
-98,E1,0.00106,PASS
-97,E1,-0.036521,PASS
-96,E1,-0.002535,PASS
-95,E1,0.001801,PASS
-94,E1,-0.000844,PASS
-93,E1,-0.038441,PASS
-92,E1,-0.050248,PASS
-91,E1,-0.01947,PASS
-90,E1,-0.001563,PASS
-89,E1,-0.01046,PASS
-88,E1,-0.006683,PASS
-87,E1,-0.012058,PASS
-86,E1,-0.00929,PASS
-85,E1,-0.040836,PASS
-84,E1,0.010197,PASS
-83,E1,-0.024886,PASS
-82,E1,-0.022363,PASS
-81,E1,-0.072618,PASS
-80,E1,0.0027,PASS
-79,E1,-0.017286,PASS
-78,E1,-0.029632,PASS
-77,E1,-0.015853,PASS
-76,E1,-0.037537,PASS
-75,E1,-0.010207,PASS
-74,E1,-0.032443,PASS
-73,E1,-0.024207,PASS
-72,E1,-0.01905,PASS
-71,E1,-0.026972,PASS
-70,E1,0.003628,PASS
-69,E1,-0.027353,PASS
-68,E1,-0.029748,PASS
-67,E1,-0.028376,PASS
-66,E1,-0.063672,PASS
-65,E1,-0.018974,PASS
-64,E1,-0.013839,PASS
-63,E1,-0.02732,PASS
-62,E1,-0.039142,PASS
-61,E1,-0.011243,PASS
-60,E1,0.002761,PASS
-59,E1,-0.027543,PASS
-58,E1,0.000667,PASS
-57,E1,0.01732,PASS
-56,E1,0.021559,PASS
-55,E1,-0.026326,PASS
-54,E1,-0.002593,PASS
-53,E1,-0.041235,PASS
-52,E1,0.010216,PASS
-51,E1,-0.006709,PASS
-50,E1,-0.01995,PASS
-49,E1,-0.044718,PASS
-48,E1,0.010196,PASS
-47,E1,-0.018178,PASS
-46,E1,-0.030819,PASS
-45,E1,-0.010206,PASS
-44,E1,-0.017847,PASS
-43,E1,0.008634,PASS
-42,E1,-0.0077,PASS
-41,E1,0.001959,PASS
-40,E1,-0.015782,PASS
-39,E1,-0.000472,PASS
-38,E1,-0.008371,PASS
-37,E1,-0.010014,PASS
-36,E1,0.018445,PASS
-35,E1,-0.037418,PASS
-34,E1,-0.030755,PASS
-33,E1,-0.050848,PASS
-32,E1,-0.011292,PASS
-31,E1,-0.006101,PASS
-30,E1,0.008618,PASS
-29,E1,-0.013084,PASS
-28,E1,-0.014067,PASS
-27,E1,-0.010959,PASS
-26,E1,-0.000355,PASS
-25,E1,-0.0281,PASS
-24,E1,-0.001621,PASS
-23,E1,-0.012153,PASS
-22,E1,0.009096,PASS
-21,E1,-0.01308,PASS
-20,E1,-0.017353,PASS
-19,E1,-0.022153,PASS
-18,E1,-0.005846,PASS
-17,E1,0.006024,PASS
-16,E1,0.00363,PASS
-15,E1,-0.012521,PASS
-14,E1,-0.022934,PASS
-13,E1,-0.006127,PASS
-12,E1,-0.0178,PASS
-11,E1,0.02259,PASS
-10,E1,-0.023988,PASS
-9,E1,-0.010558,PASS
-8,E1,0.004631,PASS
-7,E1,0.027738,PASS
-6,E1,-0.007547,PASS
-5,E1,0.00122,PASS
-4,E1,-0.013652,PASS
-3,E1,-0.019932,PASS
-2,E1,-0.014462,PASS
-1,E1,-0.016457,PASS
0,E1,0.037635,PASS
1,E1,0.059974,PASS
2,E1,0.046275,PASS
3,E1,0.061006,PASS
4,E1,0.04232,PASS
5,E1,0.050843,PASS
6,E1,0.046308,PASS
7,E1,0.064368,PASS
8,E1,0.102564,PASS
9,E1,0.070167,PASS
10,E1,0.102567,PASS
11,E1,0.070219,PASS
12,E1,0.092417,PASS
13,E1,0.105026,PASS
14,E1,0.108895,PASS
15,E1,0.098237,PASS
16,E1,0.113327,PASS
17,E1,0.091868,PASS
18,E1,0.093843,PASS
19,E1,0.124422,PASS
20,E1,0.138422,PASS
21,E1,0.08929,PASS
22,E1,0.105178,PASS
23,E1,0.093903,PASS
24,E1,0.090481,PASS
25,E1,0.082924,PASS
26,E1,0.10353,PASS
27,E1,0.076981,PASS
28,E1,0.061925,PASS
29,E1,0.057989,PASS
30,E1,0.095747,PASS
31,E1,0.094103,PASS
32,E1,0.079587,PASS
33,E1,0.079321,PASS
34,E1,0.0669,PASS
35,E1,0.050652,PASS
36,E1,0.022036,PASS
37,E1,0.054106,PASS
38,E1,0.040036,PASS
39,E1,0.061973,PASS
40,E1,0.020647,PASS
41,E1,0.032508,PASS
42,E1,0.020011,PASS
43,E1,0.047553,PASS
44,E1,0.008875,PASS
45,E1,0.03547,PASS
46,E1,0.020532,PASS
47,E1,0.053104,PASS
48,E1,0.010521,PASS
49,E1,0.026396,PASS
50,E1,0.005414,PASS
51,E1,0.031151,PASS
52,E1,0.029385,PASS
53,E1,-0.011978,PASS
54,E1,-0.007503,PASS
55,E1,0.044633,PASS
56,E1,-0.00409,PASS
57,E1,0.026477,PASS
58,E1,-0.006612,PASS
59,E1,0.005971,PASS
60,E1,-0.028114,PASS
61,E1,0.009684,PASS
62,E1,-0.00017,PASS
63,E1,-0.008149,PASS
64,E1,-0.012175,PASS
65,E1,0.002375,PASS
66,E1,0.01767,PASS
67,E1,-0.01655,PASS
68,E1,-0.009581,PASS
69,E1,0.009976,PASS
70,E1,-0.010195,PASS
71,E1,0.000911,PASS
72,E1,-0.015255,PASS
73,E1,0.003268,PASS
74,E1,0.030604,PASS
75,E1,0.035238,PASS
76,E1,-0.023564,PASS
77,E1,-0.008304,PASS
78,E1,-0.017782,PASS
79,E1,0.016172,PASS
80,E1,-0.01689,PASS
81,E1,-0.012517,PASS
82,E1,0.000925,PASS
83,E1,-0.017277,PASS
84,E1,0.007316,PASS
85,E1,0.027762,PASS
86,E1,-0.021601,PASS
87,E1,0.007016,PASS
88,E1,-0.012282,PASS
89,E1,-0.020553,PASS
90,E1,0.013414,PASS
91,E1,0.039499,PASS
92,E1,0.010217,PASS
93,E1,0.003895,PASS
94,E1,0.002505,PASS
95,E1,0.027773,PASS
96,E1,-0.015295,PASS
97,E1,0.008666,PASS
98,E1,0.018876,PASS
99,E1,-0.013386,PASS
100,E1,0.020584,PASS
101,E1,-0.019641,PASS
102,E1,0.012499,PASS
103,E1,-0.013091,PASS
104,E1,-0.006796,PASS
105,E1,-0.01658,PASS
106,E1,0.015776,PASS
107,E1,-0.008371,PASS
108,E1,-0.005895,PASS
109,E1,0.009521,PASS
110,E1,0.006854,PASS
111,E1,0.013582,PASS
112,E1,-0.003969,PASS
113,E1,-0.013893,PASS
114,E1,0.023115,PASS
115,E1,0.018206,PASS
116,E1,-0.015409,PASS
117,E1,0.001819,PASS
118,E1,0.015894,PASS
119,E1,-0.003703,PASS
120,E1,-0.029424,PASS
121,E1,0.021579,PASS
122,E1,-0.004557,PASS
123,E1,0.005677,PASS
124,E1,-0.028491,PASS
125,E1,0.000695,PASS
126,E1,0.031779,PASS
127,E1,0.005008,PASS
128,E1,-0.009495,PASS
129,E1,-0.010974,PASS
130,E1,0.002596,PASS
131,E1,-0.004529,PASS
132,E1,0.003906,PASS
133,E1,0.022407,PASS
134,E1,-0.001949,PASS
135,E1,0.003988,PASS
136,E1,0.002115,PASS
137,E1,-0.029066,PASS
138,E1,-0.026442,PASS
139,E1,-0.00334,PASS
140,E1,-0.001474,PASS
141,E1,0.007066,PASS
142,E1,0.008136,PASS
143,E1,-0.014478,PASS
144,E1,-0.008819,PASS
145,E1,-0.018413,PASS
146,E1,0.005749,PASS
147,E1,0.010258,PASS
148,E1,0.015925,PASS
149,E1,0.003065,PASS
150,E1,0.01488,PASS
151,E1,-0.008698,PASS
152,E1,0.029353,PASS
153,E1,0.021981,PASS
154,E1,0.020262,PASS
155,E1,0.002284,PASS
156,E1,0.013136,PASS
157,E1,-0.015896,PASS
158,E1,0.020774,PASS
159,E1,0.000132,PASS
160,E1,0.003253,PASS
161,E1,0.023022,PASS
162,E1,0.000818,PASS
163,E1,0.00939,PASS
164,E1,0.01652,PASS
165,E1,-0.008478,PASS
166,E1,-0.011382,PASS
167,E1,-0.011643,PASS
168,E1,-0.023234,PASS
169,E1,0.005806,PASS
170,E1,0.01838,PASS
171,E1,-0.018134,PASS
172,E1,-0.006467,PASS
173,E1,-0.011978,PASS
174,E1,0.033328,PASS
175,E1,0.038388,PASS
176,E1,-0.007285,PASS
177,E1,0.01097,PASS
178,E1,0.001283,PASS
179,E1,-0.015955,PASS
180,E1,-0.003181,PASS
181,E1,0.006653,PASS
182,E1,0.032056,PASS
183,E1,0.044154,PASS
184,E1,0.002981,PASS
185,E1,0.020381,PASS
