time_s,leaf_temp_c,air_temp_c,relative_humidity_pct,co2_ppm,light_umol_m2_s
-300,23.982,24.097,54.949,421.556,179.074
-299,23.966,24.109,54.865,421.175,181.007
-298,23.97,24.076,54.661,420.973,180.395
-297,23.948,24.149,54.999,418.146,179.834
-296,23.965,24.122,55.178,418.048,178.908
-295,24.001,24.087,54.763,418.299,180.196
-294,24.007,24.102,55.01,419.239,179.682
-293,24.021,24.077,54.959,423.434,180.944
-292,24.026,24.055,55.318,418.644,179.853
-291,24.0,24.074,54.736,421.85,177.809
-290,24.036,24.097,55.076,419.122,179.444
-289,24.024,24.127,54.804,422.243,179.625
-288,23.95,24.07,54.986,420.257,180.132
-287,24.022,24.116,55.053,419.567,181.138
-286,23.98,24.105,55.001,418.728,179.976
-285,23.982,24.153,54.794,419.46,179.479
-284,24.014,24.132,54.54,422.298,178.753
-283,24.006,24.093,54.775,419.013,179.759
-282,24.021,24.089,54.945,421.955,179.101
-281,23.997,24.127,54.911,422.552,179.729
-280,23.991,24.134,54.959,421.326,179.671
-279,24.017,24.115,55.151,420.611,177.982
-278,23.991,24.108,54.999,418.137,180.037
-277,24.008,24.061,55.301,419.622,179.234
-276,23.996,24.141,55.011,420.349,178.511
-275,23.997,24.116,55.008,420.647,179.728
-274,24.009,24.092,54.691,420.761,179.122
-273,23.974,24.117,55.095,418.909,180.096
-272,23.976,24.096,55.335,419.6,179.1
-271,23.979,24.075,55.438,420.657,181.045
-270,23.904,24.099,55.095,419.135,178.361
-269,24.01,24.107,55.16,419.76,179.63
-268,23.973,24.094,55.093,420.572,178.709
-267,23.988,24.103,55.188,421.767,179.018
-266,24.032,24.097,55.294,419.637,179.407
-265,23.97,24.125,54.765,421.481,178.454
-264,23.983,24.1,54.789,420.186,182.06
-263,24.011,24.097,54.926,422.703,179.542
-262,24.006,24.029,55.13,419.558,179.508
-261,24.035,24.074,54.599,418.633,178.553
-260,24.014,24.089,55.232,420.508,179.724
-259,23.975,24.107,55.019,420.631,179.737
-258,23.976,24.043,55.116,419.824,178.877
